Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment;2,71;1,85;0,11;0,81;5,48;96,00;42,00;8,60;2162;Rocksteady Studios;T
Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive;2,81;2,19;0,00;0,47;5,48;97,00;14,00;7,90;764;Rockstar North;M
Mario Kart: Super Circuit;GBA;2001;Racing;Nintendo;2,62;1,64;0,99;0,23;5,47;93,00;24,00;8,30;108;Intelligent Systems;E
Super Mario World;GBA;2001;Platform;Nintendo;3,21;1,11;0,95;0,20;5,46;;;;;;
Pokemon Stadium;N64;1999;Strategy;Nintendo;3,18;1,24;0,94;0,09;5,45;;;;;;
Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive;2,07;2,29;0,24;0,82;5,42;66,00;22,00;7,10;156;Traveller's Tales;E
Call of Duty: World at War;PS3;2008;Shooter;Activision;2,73;1,83;0,00;0,83;5,39;85,00;45,00;7,60;409;Treyarch;M
Uncharted 4: A Thief's End;PS4;2016;Shooter;Sony Computer Entertainment;1,85;2,50;0,19;0,85;5,38;93,00;113,00;7,90;7064;Naughty Dog;T
Dr. Mario;GB;1989;Puzzle;Nintendo;2,18;0,96;2,00;0,20;5,34;;;;;;
Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix;1,74;1,21;1,87;0,51;5,33;83,00;83,00;7,30;2483;Square Enix;T
Pokemon Pinball;GB;1999;Misc;Nintendo;3,02;1,12;1,01;0,16;5,31;;;;;;
Final Fantasy IX;PS;2000;Role-Playing;SquareSoft;1,62;0,77;2,78;0,14;5,30;94,00;22,00;8,90;779;SquareSoft;T
Assassin's Creed III;X360;2012;Action;Ubisoft;3,13;1,69;0,03;0,44;5,29;84,00;61,00;6,70;1196;Ubisoft;M
Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts;1,92;1,08;2,11;0,17;5,29;85,00;45,00;6,60;400;SquareSoft;T
Donkey Kong 64;N64;1999;Platform;Nintendo;3,33;0,79;1,09;0,06;5,27;;;;;;
Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision;3,22;1,55;0,01;0,48;5,27;81,00;53,00;5,40;898;Sledgehammer Games;M
Minecraft;PS3;2014;Misc;Sony Computer Entertainment;2,03;2,37;0,00;0,87;5,26;;;;;;
Assassin's Creed II;X360;2009;Action;Ubisoft;3,11;1,55;0,08;0,51;5,26;90,00;82,00;8,80;1305;Ubisoft Montreal;M
Tomb Raider II;PS;1997;Action;Eidos Interactive;2,30;2,46;0,20;0,28;5,24;85,00;13,00;;;Core Design Ltd.;T
Madden NFL 2004;PS2;N/A;Sports;Electronic Arts;4,26;0,26;0,01;0,71;5,23;94,00;29,00;8,50;140;EA Tiburon;E
Tomodachi Life;3DS;2013;Simulation;Nintendo;0,97;2,11;1,90;0,24;5,23;;;;;;
New Super Mario Bros. U;WiiU;2012;Platform;Nintendo;2,30;1,34;1,27;0,32;5,22;84,00;70,00;8,10;733;Nintendo;E
Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix;0,65;0,75;3,61;0,20;5,21;89,00;63,00;8,80;245;Level 5;T
Super Mario Bros. 3;GBA;2003;Platform;Nintendo;2,93;1,25;0,83;0,20;5,20;;;;;;
Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;1,21;2,43;1,03;0,52;5,19;85,00;72,00;8,60;147;Level 5;E
Super Mario Land 3: Wario Land;GB;1994;Platform;Nintendo;2,49;0,98;1,57;0,15;5,19;;;;;;
FIFA Soccer 13;X360;2012;Action;Electronic Arts;1,09;3,47;0,03;0,57;5,16;90,00;48,00;6,10;403;Electronic Arts;E
Donkey Kong Country 2: Diddy's Kong Quest;SNES;1995;Platform;Nintendo;2,10;0,74;2,20;0,11;5,15;;;;;;
Diablo III;PC;2012;Role-Playing;Activision;2,44;2,16;0,00;0,54;5,14;88,00;86,00;4,00;9629;Blizzard Entertainment;M
Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts;1,98;2,23;0,13;0,80;5,13;68,00;30,00;7,60;100;EA LA;T
Kirby's Dream Land;GB;1992;Platform;Nintendo;2,71;0,61;1,70;0,11;5,13;;;;;;
Microsoft Flight Simulator;PC;1996;Simulation;Microsoft Game Studios;3,22;1,69;0,00;0,20;5,12;;;;;;
Guitar Hero II;PS2;2006;Misc;RedOctane;3,81;0,63;0,00;0,68;5,12;92,00;69,00;8,50;112;Harmonix Music Systems;T
Fable III;X360;2010;Role-Playing;Microsoft Game Studios;3,59;1,08;0,05;0,38;5,10;80,00;88,00;6,50;604;Lionhead Studios;M
Mario & Sonic at the Olympic Games;DS;2008;Sports;Sega;1,63;2,45;0,44;0,57;5,09;;;;;;
